        word            tf        idf
ask                  0.002762   0.000000  
consid               0.002762   0.000000  
crawl                0.002762   0.000000  
itch                 0.002762   0.000000  
know                 0.002762   0.000000  
listen               0.002762   0.000000  
mark                 0.002762   0.000000  
mouth                0.002762   0.000000  
prai                 0.002762   0.000000  
sai                  0.002762   0.000000  
talk                 0.002762   0.000000  
tear                 0.002762   0.000000  
wait                 0.002762   0.000000  
want                 0.002762   0.000000  
believ               0.001842   0.000000  
belong               0.001842   0.000000  
boi                  0.001842   0.000000  
book                 0.001842   0.000000  
breast               0.001842   0.000000  
breath               0.001842   0.000000  
bust                 0.001842   0.000000  
call                 0.001842   0.000000  
candl                0.001842   0.000000  
charg                0.001842   0.000000  
cheer                0.001842   0.000000  
clean                0.001842   0.000000  
consider             0.001842   0.000000  
cross                0.001842   0.000000  
cry                  0.001842   0.000000  
dai                  0.001842   0.000000  
differ               0.001842   0.000000  
dollar               0.001842   0.000000  
eat                  0.001842   0.000000  
end                  0.001842   0.000000  
famili               0.001842   0.000000  
feel                 0.001842   0.000000  
fetch                0.001842   0.000000  
find                 0.001842   0.000000  
float                0.001842   0.000000  
fool                 0.001842   0.000000  
git                  0.001842   0.000000  
go                   0.001842   0.000000  
greas                0.001842   0.000000  
hand                 0.001842   0.000000  
happen               0.001842   0.000000  
head                 0.001842   0.000000  
hear                 0.001842   0.000000  
hid                  0.001842   0.000000  
hous                 0.001842   0.000000  
hundr                0.001842   0.000000  
judg                 0.001842   0.000000  
keep                 0.001842   0.000000  
kill                 0.001842   0.000000  
kind                 0.001842   0.000000  
learn                0.001842   0.000000  
li                   0.001842   0.000000  
lick                 0.001842   0.000000  
light                0.001842   0.000000  
like                 0.001842   0.000000  
load                 0.001842   0.000000  
look                 0.001842   0.000000  
magician             0.001842   0.000000  
make                 0.001842   0.000000  
mean                 0.001842   0.000000  
mile                 0.001842   0.000000  
minut                0.001842   0.000000  
month                0.001842   0.000000  
nail                 0.001842   0.000000  
name                 0.001842   0.000000  
new                  0.001842   0.000000  
nigger               0.001842   0.000000  
notic                0.001842   0.000000  
on                   0.001842   0.000000  
open                 0.001842   0.000000  
part                 0.001842   0.000000  
pass                 0.001842   0.000000  
place                0.001842   0.000000  
plai                 0.001842   0.000000  
provid               0.001842   0.000000  
pull                 0.001842   0.000000  
rag                  0.001842   0.000000  
ransom               0.001842   0.000000  
reckon               0.001842   0.000000  
robber               0.001842   0.000000  
root                 0.001842   0.000000  
rub                  0.001842   0.000000  
rubb                 0.001842   0.000000  
scar                 0.001842   0.000000  
scour                0.001842   0.000000  
secret               0.001842   0.000000  
see                  0.001842   0.000000  
seem                 0.001842   0.000000  
shoulder             0.001842   0.000000  
show                 0.001842   0.000000  
sign                 0.001842   0.000000  
sleep                0.001842   0.000000  
stand                0.001842   0.000000  
start                0.001842   0.000000  
stirr                0.001842   0.000000  
stoop                0.001842   0.000000  
stretch              0.001842   0.000000  
sundai               0.001842   0.000000  
tell                 0.001842   0.000000  
thing                0.001842   0.000000  
time                 0.001842   0.000000  
touch                0.001842   0.000000  
tree                 0.001842   0.000000  
try                  0.001842   0.000000  
turn                 0.001842   0.000000  
us                   0.001842   0.000000  
wai                  0.001842   0.000000  
watch                0.001842   0.000000  
whisper              0.001842   0.000000  
will                 0.001842   0.000000  
wind                 0.001842   0.000000  
wish                 0.001842   0.000000  
witch                0.001842   0.000000  
wonder               0.001842   0.000000  
work                 0.001842   0.000000  
worri                0.001842   0.000000  
a-both               0.000921   0.000000  
a-go                 0.000921   0.000000  
a-gwyn               0.000921   0.000000  
a-rab                0.000921   0.000000  
a-ripp               0.000921   0.000000  
a-rol                0.000921   0.000000  
a-shak               0.000921   0.000000  
account              0.000921   0.000000  
act                  0.000921   0.000000  
advantag             0.000921   0.000000  
adventur             0.000921   0.000000  
afterward            0.000921   0.000000  
agin                 0.000921   0.000000  
agre                 0.000921   0.000000  
ahead                0.000921   0.000000  
ain't                0.000921   0.000000  
allow                0.000921   0.000000  
alon                 0.000921   0.000000  
along                0.000921   0.000000  
alwai                0.000921   0.000000  
ambuscad             0.000921   0.000000  
among                0.000921   0.000000  
amongst              0.000921   0.000000  
angel                0.000921   0.000000  
ankl                 0.000921   0.000000  
anoth                0.000921   0.000000  
answer               0.000921   0.000000  
anybodi              0.000921   0.000000  
anyhow               0.000921   0.000000  
anyth                0.000921   0.000000  
anywai               0.000921   0.000000  
anywher              0.000921   0.000000  
apiec                0.000921   0.000000  
around               0.000921   0.000000  
ash                  0.000921   0.000000  
asham                0.000921   0.000000  
ashor                0.000921   0.000000  
asleep               0.000921   0.000000  
aunt                 0.000921   0.000000  
author               0.000921   0.000000  
aw                   0.000921   0.000000  
awai                 0.000921   0.000000  
awhil                0.000921   0.000000  
back                 0.000921   0.000000  
bad                  0.000921   0.000000  
band                 0.000921   0.000000  
bank                 0.000921   0.000000  
bare                 0.000921   0.000000  
barn                 0.000921   0.000000  
barrel               0.000921   0.000000  
be                   0.000921   0.000000  
beauti               0.000921   0.000000  
bed                  0.000921   0.000000  
begin                0.000921   0.000000  
begun                0.000921   0.000000  
behav                0.000921   0.000000  
behind               0.000921   0.000000  
bell                 0.000921   0.000000  
belt                 0.000921   0.000000  
ben                  0.000921   0.000000  
best                 0.000921   0.000000  
better               0.000921   0.000000  
betwixt              0.000921   0.000000  
big                  0.000921   0.000000  
bill                 0.000921   0.000000  
bit                  0.000921   0.000000  
black                0.000921   0.000000  
blame                0.000921   0.000000  
blaz                 0.000921   0.000000  
blood                0.000921   0.000000  
blott                0.000921   0.000000  
board                0.000921   0.000000  
bodi                 0.000921   0.000000  
body'                0.000921   0.000000  
boom                 0.000921   0.000000  
boot-heel            0.000921   0.000000  
bothersom            0.000921   0.000000  
bought               0.000921   0.000000  
bout                 0.000921   0.000000  
branch               0.000921   0.000000  
brass                0.000921   0.000000  
break                0.000921   0.000000  
breakfast            0.000921   0.000000  
bring                0.000921   0.000000  
broad                0.000921   0.000000  
broomstick           0.000921   0.000000  
budg                 0.000921   0.000000  
build                0.000921   0.000000  
bulrush              0.000921   0.000000  
burglar              0.000921   0.000000  
burglari             0.000921   0.000000  
buri                 0.000921   0.000000  
burnt                0.000921   0.000000  
bush                 0.000921   0.000000  
busi                 0.000921   0.000000  
calcul               0.000921   0.000000  
camel                0.000921   0.000000  
camp                 0.000921   0.000000  
can                  0.000921   0.000000  
captain              0.000921   0.000000  
carcass              0.000921   0.000000  
care                 0.000921   0.000000  
carriag              0.000921   0.000000  
cart                 0.000921   0.000000  
cat                  0.000921   0.000000  
cattl                0.000921   0.000000  
cave                 0.000921   0.000000  
cent                 0.000921   0.000000  
certainli            0.000921   0.000000  
chair                0.000921   0.000000  
chang                0.000921   0.000000  
chap                 0.000921   0.000000  
chapter              0.000921   0.000000  
charm                0.000921   0.000000  
chas                 0.000921   0.000000  
chewing-gum          0.000921   0.000000  
children             0.000921   0.000000  
china                0.000921   0.000000  
church               0.000921   0.000000  
clai                 0.000921   0.000000  
clayei               0.000921   0.000000  
clear                0.000921   0.000000  
climb                0.000921   0.000000  
clock                0.000921   0.000000  
close                0.000921   0.000000  
closet               0.000921   0.000000  
cloth                0.000921   0.000000  
club                 0.000921   0.000000  
clumb                0.000921   0.000000  
clump                0.000921   0.000000  
clutter              0.000921   0.000000  
cold                 0.000921   0.000000  
com                  0.000921   0.000000  
come                 0.000921   0.000000  
comfort              0.000921   0.000000  
commenc              0.000921   0.000000  
compani              0.000921   0.000000  
confid               0.000921   0.000000  
cook                 0.000921   0.000000  
cork                 0.000921   0.000000  
correct              0.000921   0.000000  
counterfeit          0.000921   0.000000  
countri              0.000921   0.000000  
cours                0.000921   0.000000  
cramp                0.000921   0.000000  
creep                0.000921   0.000000  
crept                0.000921   0.000000  
cri                  0.000921   0.000000  
crowd                0.000921   0.000000  
cry-babi             0.000921   0.000000  
cure                 0.000921   0.000000  
curiou               0.000921   0.000000  
curs                 0.000921   0.000000  
cut                  0.000921   0.000000  
dah                  0.000921   0.000000  
damp                 0.000921   0.000000  
dark                 0.000921   0.000000  
dasn't               0.000921   0.000000  
dat                  0.000921   0.000000  
daughter             0.000921   0.000000  
de                   0.000921   0.000000  
deacon               0.000921   0.000000  
dead                 0.000921   0.000000  
deadli               0.000921   0.000000  
deal                 0.000921   0.000000  
death                0.000921   0.000000  
decent               0.000921   0.000000  
den                  0.000921   0.000000  
devil                0.000921   0.000000  
dey'                 0.000921   0.000000  
di'mond              0.000921   0.000000  
didn                 0.000921   0.000000  
die                  0.000921   0.000000  
directli             0.000921   0.000000  
dismal               0.000921   0.000000  
disturb              0.000921   0.000000  
doan                 0.000921   0.000000  
dog                  0.000921   0.000000  
dog-tir              0.000921   0.000000  
doll                 0.000921   0.000000  
don                  0.000921   0.000000  
done                 0.000921   0.000000  
door                 0.000921   0.000000  
doughnut             0.000921   0.000000  
dougla               0.000921   0.000000  
down-heart           0.000921   0.000000  
dress                0.000921   0.000000  
drop                 0.000921   0.000000  
dropp                0.000921   0.000000  
drownd               0.000921   0.000000  
drunk                0.000921   0.000000  
duck                 0.000921   0.000000  
dull                 0.000921   0.000000  
ear                  0.000921   0.000000  
eas                  0.000921   0.000000  
easi                 0.000921   0.000000  
easier               0.000921   0.000000  
edg                  0.000921   0.000000  
ef                   0.000921   0.000000  
elect                0.000921   0.000000  
eleph                0.000921   0.000000  
eleven               0.000921   0.000000  
els                  0.000921   0.000000  
em                   0.000921   0.000000  
em'                  0.000921   0.000000  
emperor'             0.000921   0.000000  
en                   0.000921   0.000000  
enchant              0.000921   0.000000  
enemi                0.000921   0.000000  
enough               0.000921   0.000000  
even                 0.000921   0.000000  
ever                 0.000921   0.000000  
everi                0.000921   0.000000  
everybodi            0.000921   0.000000  
everyth              0.000921   0.000000  
except               0.000921   0.000000  
ey                   0.000921   0.000000  
face                 0.000921   0.000000  
fair                 0.000921   0.000000  
fall                 0.000921   0.000000  
fat                  0.000921   0.000000  
father               0.000921   0.000000  
fault                0.000921   0.000000  
feet                 0.000921   0.000000  
fell                 0.000921   0.000000  
fellow               0.000921   0.000000  
felt                 0.000921   0.000000  
fenc                 0.000921   0.000000  
fidgeti              0.000921   0.000000  
fifti                0.000921   0.000000  
fill                 0.000921   0.000000  
fine                 0.000921   0.000000  
finger               0.000921   0.000000  
finn                 0.000921   0.000000  
fire                 0.000921   0.000000  
first                0.000921   0.000000  
fish-lin             0.000921   0.000000  
fist                 0.000921   0.000000  
five                 0.000921   0.000000  
five-cent            0.000921   0.000000  
fix                  0.000921   0.000000  
flat-head            0.000921   0.000000  
flipp                0.000921   0.000000  
floor                0.000921   0.000000  
flyin                0.000921   0.000000  
folk                 0.000921   0.000000  
follow               0.000921   0.000000  
foolish              0.000921   0.000000  
foot                 0.000921   0.000000  
forev                0.000921   0.000000  
forgot               0.000921   0.000000  
forti                0.000921   0.000000  
fortun               0.000921   0.000000  
found                0.000921   0.000000  
four                 0.000921   0.000000  
fourth               0.000921   0.000000  
free                 0.000921   0.000000  
front                0.000921   0.000000  
full                 0.000921   0.000000  
fum                  0.000921   0.000000  
fun                  0.000921   0.000000  
funer                0.000921   0.000000  
funni                0.000921   0.000000  
fust                 0.000921   0.000000  
gal                  0.000921   0.000000  
gang                 0.000921   0.000000  
gap                  0.000921   0.000000  
garden               0.000921   0.000000  
geni                 0.000921   0.000000  
get                  0.000921   0.000000  
gett                 0.000921   0.000000  
ghost                0.000921   0.000000  
gift                 0.000921   0.000000  
give                 0.000921   0.000000  
glad                 0.000921   0.000000  
goggl                0.000921   0.000000  
going-ov             0.000921   0.000000  
gold                 0.000921   0.000000  
gone                 0.000921   0.000000  
good                 0.000921   0.000000  
got                  0.000921   0.000000  
grand                0.000921   0.000000  
grave                0.000921   0.000000  
greasi               0.000921   0.000000  
griev                0.000921   0.000000  
ground               0.000921   0.000000  
grumbl               0.000921   0.000000  
guard                0.000921   0.000000  
gun                  0.000921   0.000000  
gwyne                0.000921   0.000000  
hack                 0.000921   0.000000  
hain't               0.000921   0.000000  
hair                 0.000921   0.000000  
hair-bal             0.000921   0.000000  
half                 0.000921   0.000000  
half-yearli          0.000921   0.000000  
hard                 0.000921   0.000000  
hardli               0.000921   0.000000  
harm                 0.000921   0.000000  
harp                 0.000921   0.000000  
harper               0.000921   0.000000  
hash                 0.000921   0.000000  
hat                  0.000921   0.000000  
hate                 0.000921   0.000000  
heard                0.000921   0.000000  
heavi                0.000921   0.000000  
held                 0.000921   0.000000  
help                 0.000921   0.000000  
high                 0.000921   0.000000  
high-ton             0.000921   0.000000  
highest              0.000921   0.000000  
highwaymen           0.000921   0.000000  
hill                 0.000921   0.000000  
hillsid              0.000921   0.000000  
hilltop              0.000921   0.000000  
hiv                  0.000921   0.000000  
hm                   0.000921   0.000000  
hog                  0.000921   0.000000  
hog-driv             0.000921   0.000000  
hold                 0.000921   0.000000  
hole                 0.000921   0.000000  
hollow               0.000921   0.000000  
home                 0.000921   0.000000  
hook                 0.000921   0.000000  
hookei               0.000921   0.000000  
hop                  0.000921   0.000000  
horsesho             0.000921   0.000000  
hour                 0.000921   0.000000  
hoverin              0.000921   0.000000  
huck                 0.000921   0.000000  
huckleberri          0.000921   0.000000  
hung                 0.000921   0.000000  
hunt                 0.000921   0.000000  
hurt                 0.000921   0.000000  
hymn-book            0.000921   0.000000  
i'                   0.000921   0.000000  
idea                 0.000921   0.000000  
ignor                0.000921   0.000000  
ii                   0.000921   0.000000  
iii                  0.000921   0.000000  
inch                 0.000921   0.000000  
includ               0.000921   0.000000  
infant               0.000921   0.000000  
ingot                0.000921   0.000000  
injun                0.000921   0.000000  
insid                0.000921   0.000000  
instead              0.000921   0.000000  
interest             0.000921   0.000000  
invest               0.000921   0.000000  
irish                0.000921   0.000000  
iron                 0.000921   0.000000  
iv                   0.000921   0.000000  
jack                 0.000921   0.000000  
jam                  0.000921   0.000000  
jericho              0.000921   0.000000  
jim                  0.000921   0.000000  
jim'                 0.000921   0.000000  
jo                   0.000921   0.000000  
joi                  0.000921   0.000000  
join                 0.000921   0.000000  
juic                 0.000921   0.000000  
juleri               0.000921   0.000000  
just                 0.000921   0.000000  
kase                 0.000921   0.000000  
kept                 0.000921   0.000000  
kin                  0.000921   0.000000  
kitchen              0.000921   0.000000  
knee                 0.000921   0.000000  
knock                0.000921   0.000000  
la                   0.000921   0.000000  
lai                  0.000921   0.000000  
laid                 0.000921   0.000000  
lamb                 0.000921   0.000000  
lamp                 0.000921   0.000000  
last                 0.000921   0.000000  
lath                 0.000921   0.000000  
lean                 0.000921   0.000000  
leav                 0.000921   0.000000  
left                 0.000921   0.000000  
leg                  0.000921   0.000000  
let                  0.000921   0.000000  
lett                 0.000921   0.000000  
life                 0.000921   0.000000  
lightn               0.000921   0.000000  
lik                  0.000921   0.000000  
limb                 0.000921   0.000000  
line                 0.000921   0.000000  
list                 0.000921   0.000000  
lit                  0.000921   0.000000  
littl                0.000921   0.000000  
liv                  0.000921   0.000000  
live                 0.000921   0.000000  
lock                 0.000921   0.000000  
lonesom              0.000921   0.000000  
long                 0.000921   0.000000  
longer               0.000921   0.000000  
loos                 0.000921   0.000000  
lost                 0.000921   0.000000  
lot                  0.000921   0.000000  
love                 0.000921   0.000000  
low-down             0.000921   0.000000  
low-spirit           0.000921   0.000000  
luck                 0.000921   0.000000  
ma                   0.000921   0.000000  
mad                  0.000921   0.000000  
made                 0.000921   0.000000  
magic                0.000921   0.000000  
maid                 0.000921   0.000000  
mainli               0.000921   0.000000  
mak                  0.000921   0.000000  
man                  0.000921   0.000000  
man'                 0.000921   0.000000  
manag                0.000921   0.000000  
mani                 0.000921   0.000000  
mari                 0.000921   0.000000  
market               0.000921   0.000000  
marri                0.000921   0.000000  
mask                 0.000921   0.000000  
mathemat             0.000921   0.000000  
matter               0.000921   0.000000  
mayb                 0.000921   0.000000  
me-yow               0.000921   0.000000  
meant                0.000921   0.000000  
meet                 0.000921   0.000000  
mention              0.000921   0.000000  
merchant             0.000921   0.000000  
mess                 0.000921   0.000000  
middl                0.000921   0.000000  
might                0.000921   0.000000  
mighti               0.000921   0.000000  
mind                 0.000921   0.000000  
mine                 0.000921   0.000000  
miser                0.000921   0.000000  
miss                 0.000921   0.000000  
mix                  0.000921   0.000000  
monei                0.000921   0.000000  
monstrou             0.000921   0.000000  
more'n               0.000921   0.000000  
morn                 0.000921   0.000000  
mose                 0.000921   0.000000  
mostli               0.000921   0.000000  
mourn                0.000921   0.000000  
move                 0.000921   0.000000  
mr                   0.000921   0.000000  
much                 0.000921   0.000000  
muddl                0.000921   0.000000  
